base_set	reference_set	base_size	reference_size	overlapping_genes	percentage	species
H-M_Liftoff_1to1	H-M_Liftoff_1to1	1053	1053	1053	1.00000000000000000000	Human
H-M_Liftoff_1to1	H_to_M_connectOR_005_1to1	1053	3712	756	.71794871794871794871	Human
H-M_Liftoff_1to1	H_to_M_connectOR_005	1053	9270	1051	.99810066476733143399	Human
H-M_Liftoff_1to1	H_to_M_connectOR_1to1	1053	3531	753	.71509971509971509971	Human
H-M_Liftoff_1to1	H_to_M_connectOR	1053	9153	1051	.99810066476733143399	Human
H-M_Liftoff_1to1	H_to_M_Liftoff	1053	1574	1053	1.00000000000000000000	Human
H-M_Liftoff_1to1	H_to_P_Liftoff	1053	15193	917	.87084520417853751187	Human
H-M_Liftoff_1to1	M_to_H_connectOR_005_1to1	1053	3712	756	.71794871794871794871	Human
H-M_Liftoff_1to1	M_to_H_connectOR_005	1053	9873	1052	.99905033238366571699	Human
H-M_Liftoff_1to1	M_to_H_connectOR_1to1	1053	3531	753	.71509971509971509971	Human
H-M_Liftoff_1to1	M_to_H_connectOR	1053	9788	1052	.99905033238366571699	Human
H-M_Liftoff_1to1	M_to_H_Liftoff	1053	1685	1053	1.00000000000000000000	Human
H_to_M_connectOR_005_1to1	H-M_Liftoff_1to1	3712	1053	756	.20366379310344827586	Human
H_to_M_connectOR_005_1to1	H_to_M_connectOR_005_1to1	3712	3712	3712	1.00000000000000000000	Human
H_to_M_connectOR_005_1to1	H_to_M_connectOR_005	3712	9270	3712	1.00000000000000000000	Human
H_to_M_connectOR_005_1to1	H_to_M_connectOR_1to1	3712	3531	3488	.93965517241379310344	Human
H_to_M_connectOR_005_1to1	H_to_M_connectOR	3712	9153	3589	.96686422413793103448	Human
H_to_M_connectOR_005_1to1	H_to_M_Liftoff	3712	1574	934	.25161637931034482758	Human
H_to_M_connectOR_005_1to1	H_to_P_Liftoff	3712	15193	2421	.65220905172413793103	Human
H_to_M_connectOR_005_1to1	M_to_H_connectOR_005_1to1	3712	3712	3712	1.00000000000000000000	Human
H_to_M_connectOR_005_1to1	M_to_H_connectOR_005	3712	9873	3712	1.00000000000000000000	Human
H_to_M_connectOR_005_1to1	M_to_H_connectOR_1to1	3712	3531	3488	.93965517241379310344	Human
H_to_M_connectOR_005_1to1	M_to_H_connectOR	3712	9788	3615	.97386853448275862068	Human
H_to_M_connectOR_005_1to1	M_to_H_Liftoff	3712	1685	1001	.26966594827586206896	Human
H_to_M_connectOR_005	H-M_Liftoff_1to1	9270	1053	1051	.11337648327939590075	Human
H_to_M_connectOR_005	H_to_M_connectOR_005_1to1	9270	3712	3712	.40043149946062567421	Human
H_to_M_connectOR_005	H_to_M_connectOR_005	9270	9270	9270	1.00000000000000000000	Human
H_to_M_connectOR_005	H_to_M_connectOR_1to1	9270	3531	3522	.37993527508090614886	Human
H_to_M_connectOR_005	H_to_M_connectOR	9270	9153	9013	.97227615965480043149	Human
H_to_M_connectOR_005	H_to_M_Liftoff	9270	1574	1558	.16806903991370010787	Human
H_to_M_connectOR_005	H_to_P_Liftoff	9270	15193	4613	.49762675296655879180	Human
H_to_M_connectOR_005	M_to_H_connectOR_005_1to1	9270	3712	3712	.40043149946062567421	Human
H_to_M_connectOR_005	M_to_H_connectOR_005	9270	9873	6037	.65124056094929881337	Human
H_to_M_connectOR_005	M_to_H_connectOR_1to1	9270	3531	3522	.37993527508090614886	Human
H_to_M_connectOR_005	M_to_H_connectOR	9270	9788	5930	.63969795037756202804	Human
H_to_M_connectOR_005	M_to_H_Liftoff	9270	1685	1667	.17982740021574973031	Human
H_to_M_connectOR_1to1	H-M_Liftoff_1to1	3531	1053	753	.21325403568394222599	Human
H_to_M_connectOR_1to1	H_to_M_connectOR_005_1to1	3531	3712	3488	.98782214670065137354	Human
H_to_M_connectOR_1to1	H_to_M_connectOR_005	3531	9270	3522	.99745114698385726423	Human
H_to_M_connectOR_1to1	H_to_M_connectOR_1to1	3531	3531	3531	1.00000000000000000000	Human
H_to_M_connectOR_1to1	H_to_M_connectOR	3531	9153	3531	1.00000000000000000000	Human
H_to_M_connectOR_1to1	H_to_M_Liftoff	3531	1574	930	.26338147833474936278	Human
H_to_M_connectOR_1to1	H_to_P_Liftoff	3531	15193	2349	.66525063721325403568	Human
H_to_M_connectOR_1to1	M_to_H_connectOR_005_1to1	3531	3712	3488	.98782214670065137354	Human
H_to_M_connectOR_1to1	M_to_H_connectOR_005	3531	9873	3522	.99745114698385726423	Human
H_to_M_connectOR_1to1	M_to_H_connectOR_1to1	3531	3531	3531	1.00000000000000000000	Human
H_to_M_connectOR_1to1	M_to_H_connectOR	3531	9788	3531	1.00000000000000000000	Human
H_to_M_connectOR_1to1	M_to_H_Liftoff	3531	1685	996	.28207306711979609175	Human
H_to_M_connectOR	H-M_Liftoff_1to1	9153	1053	1051	.11482574019447175789	Human
H_to_M_connectOR	H_to_M_connectOR_005_1to1	9153	3712	3589	.39211187588768709712	Human
H_to_M_connectOR	H_to_M_connectOR_005	9153	9270	9013	.98470446848027968971	Human
H_to_M_connectOR	H_to_M_connectOR_1to1	9153	3531	3531	.38577515568666011143	Human
H_to_M_connectOR	H_to_M_connectOR	9153	9153	9153	1.00000000000000000000	Human
H_to_M_connectOR	H_to_M_Liftoff	9153	1574	1558	.17021741505517316726	Human
H_to_M_connectOR	H_to_P_Liftoff	9153	15193	4580	.50038238828799300775	Human
H_to_M_connectOR	M_to_H_connectOR_005_1to1	9153	3712	3589	.39211187588768709712	Human
H_to_M_connectOR	M_to_H_connectOR_005	9153	9873	5897	.64426963836993335518	Human
H_to_M_connectOR	M_to_H_connectOR_1to1	9153	3531	3531	.38577515568666011143	Human
H_to_M_connectOR	M_to_H_connectOR	9153	9788	5861	.64033650169343384682	Human
H_to_M_connectOR	M_to_H_Liftoff	9153	1685	1667	.18212607888124112312	Human
H_to_M_Liftoff	H-M_Liftoff_1to1	1574	1053	1053	.66899618805590851334	Human
H_to_M_Liftoff	H_to_M_connectOR_005_1to1	1574	3712	934	.59339263024142312579	Human
H_to_M_Liftoff	H_to_M_connectOR_005	1574	9270	1558	.98983481575603557814	Human
H_to_M_Liftoff	H_to_M_connectOR_1to1	1574	3531	930	.59085133418043202033	Human
H_to_M_Liftoff	H_to_M_connectOR	1574	9153	1558	.98983481575603557814	Human
H_to_M_Liftoff	H_to_M_Liftoff	1574	1574	1574	1.00000000000000000000	Human
H_to_M_Liftoff	H_to_P_Liftoff	1574	15193	1338	.85006353240152477763	Human
H_to_M_Liftoff	M_to_H_connectOR_005_1to1	1574	3712	934	.59339263024142312579	Human
H_to_M_Liftoff	M_to_H_connectOR_005	1574	9873	1552	.98602287166454891994	Human
H_to_M_Liftoff	M_to_H_connectOR_1to1	1574	3531	930	.59085133418043202033	Human
H_to_M_Liftoff	M_to_H_connectOR	1574	9788	1555	.98792884371029224904	Human
H_to_M_Liftoff	M_to_H_Liftoff	1574	1685	1228	.78017789072426937738	Human
H_to_P_Liftoff	H-M_Liftoff_1to1	15193	1053	917	.06035674323701704732	Human
H_to_P_Liftoff	H_to_M_connectOR_005_1to1	15193	3712	2421	.15934970051997630487	Human
H_to_P_Liftoff	H_to_M_connectOR_005	15193	9270	4613	.30362667017705522279	Human
H_to_P_Liftoff	H_to_M_connectOR_1to1	15193	3531	2349	.15461067596919634041	Human
H_to_P_Liftoff	H_to_M_connectOR	15193	9153	4580	.30145461725794773909	Human
H_to_P_Liftoff	H_to_M_Liftoff	15193	1574	1338	.08806687290199433949	Human
H_to_P_Liftoff	H_to_P_Liftoff	15193	15193	15193	1.00000000000000000000	Human
H_to_P_Liftoff	M_to_H_connectOR_005_1to1	15193	3712	2421	.15934970051997630487	Human
H_to_P_Liftoff	M_to_H_connectOR_005	15193	9873	3801	.25018100440992562364	Human
H_to_P_Liftoff	M_to_H_connectOR_1to1	15193	3531	2349	.15461067596919634041	Human
H_to_P_Liftoff	M_to_H_connectOR	15193	9788	3766	.24787731191996314092	Human
H_to_P_Liftoff	M_to_H_Liftoff	15193	1685	1389	.09142368195879681432	Human
M_to_H_connectOR_005_1to1	H-M_Liftoff_1to1	3712	1053	756	.20366379310344827586	Human
M_to_H_connectOR_005_1to1	H_to_M_connectOR_005_1to1	3712	3712	3712	1.00000000000000000000	Human
M_to_H_connectOR_005_1to1	H_to_M_connectOR_005	3712	9270	3712	1.00000000000000000000	Human
M_to_H_connectOR_005_1to1	H_to_M_connectOR_1to1	3712	3531	3488	.93965517241379310344	Human
M_to_H_connectOR_005_1to1	H_to_M_connectOR	3712	9153	3589	.96686422413793103448	Human
M_to_H_connectOR_005_1to1	H_to_M_Liftoff	3712	1574	934	.25161637931034482758	Human
M_to_H_connectOR_005_1to1	H_to_P_Liftoff	3712	15193	2421	.65220905172413793103	Human
M_to_H_connectOR_005_1to1	M_to_H_connectOR_005_1to1	3712	3712	3712	1.00000000000000000000	Human
M_to_H_connectOR_005_1to1	M_to_H_connectOR_005	3712	9873	3712	1.00000000000000000000	Human
M_to_H_connectOR_005_1to1	M_to_H_connectOR_1to1	3712	3531	3488	.93965517241379310344	Human
M_to_H_connectOR_005_1to1	M_to_H_connectOR	3712	9788	3615	.97386853448275862068	Human
M_to_H_connectOR_005_1to1	M_to_H_Liftoff	3712	1685	1001	.26966594827586206896	Human
M_to_H_connectOR_005	H-M_Liftoff_1to1	9873	1053	1052	.10655322596981667173	Human
M_to_H_connectOR_005	H_to_M_connectOR_005_1to1	9873	3712	3712	.37597488098855464397	Human
M_to_H_connectOR_005	H_to_M_connectOR_005	9873	9270	6037	.61146561328876734528	Human
M_to_H_connectOR_005	H_to_M_connectOR_1to1	9873	3531	3522	.35673047705864478881	Human
