Database_ID	ncRNA_Symbol	ncRNA_Category	Species	Detection_Method	Strong_Evidence	Weak_Evidence	Score	Causality	Clinical	ncRNA_ID
LDA0006941	NEAT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//CCK8//qRT-PCR//RIP//Flow Cytometry//MTT//Luciferase Report Assay//FISH//IF//IHC//EdU Staining//Transwell Assay		1	Yes	Yes	RID03401
LDA0006974	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//qPCR//Flow Cytometry//qRT-PCR//RIP//MTT//Luciferase Report Assay		1	Yes	Yes	RID03401
LDA0006990	MILIP	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Wound Healing Assay//Migration Assay//Flow Cytometry//qRT-PCR//CCK8//RIP//MTT//Luciferase Report Assay//BrdU//ELISA//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03208
LDA0007003	NEAT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//IHC//Western Blot//Transfection//Tunel//CCK8//qRT-PCR//RIP//Flow Cytometry//MTT//Luciferase Report Assay//FISH//IF//Cell Proliferation Assay//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID03401
LDA0007013	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//MTT//Luciferase Report Assay//Cell Apoptosis Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID03401
LDA0007036	NEAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//qRT-PCR//RIP//Luciferase Report Assay//ELISA		1	Yes	Yes	RID03401
LDA0007073	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Flow Cytometry//qRT-PCR//CCK8//RIP//MTT//Luciferase Report Assay//ELISA		1	Yes	Unknown	RID03401
LDA0007127	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Flow Cytometry//qRT-PCR//Luciferase Report Assay//Cell Apoptosis Assay		1	Yes	Yes	RID03401
LDA0007138	NEAT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//qPCR//CCK8//qRT-PCR//Flow Cytometry//RIP//Luciferase Report Assay//Colony Formation Assay		1	Yes	Yes	RID03401
LDA0007145	MT1JP	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//CCK8//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID03322
LDA0007158	NEAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//ISH//Wound Healing Assay//Transfection//Genotyping//Flow Cytometry//qRT-PCR//FISH//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03401
LDA0007164	NEAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID03401
LDA0007190	MKLN1-AS	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay		1	Yes	Yes	RID03273
LDA0007196	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//IHC//Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//CCK8//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID03401
LDA0007230	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//Co-IP//Tunel//Migration Assay//Flow Cytometry//qRT-PCR//RIP//CCK8//MTT//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03401
LDA0007258	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//EdU Staining//Migration Assay//CCK8//RIP//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//ELISA//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03401
LDA0007269	NEAT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RIP//MTT//Flow Cytometry//FISH//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//ChIP//Transwell Assay//Transfection//Genotyping//Migration Assay//IHC//RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//ELISA//IF		1	Yes	Yes	RID03401
LDA0007332	NEAT1	LncRNA	Homo sapiens	Strong evidence	IHC//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Unknown	RID03401
LDA0007349	NEAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//Flow Cytometry//qRT-PCR//RIP//MTT//Luciferase Report Assay//ELISA		1	Yes	Unknown	RID03401
LDA0007350	NEAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//qPCR//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//FISH//Transwell Assay		1	Yes	Yes	RID03401
LDA0007365	NEAT1	LncRNA	Homo sapiens	Strong/Weak evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//Flow Cytometry//Luciferase Report Assay	Bioinformatics Analysis	1	Yes	Yes	RID03401
LDA0007375	MIR4435-2HG	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//Migration Assay//Flow Cytometry//qRT-PCR//CCK8//RIP//MTT//Luciferase Report Assay//IP//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03240
LDA0007385	MIR503HG	LncRNA	Homo sapiens	Strong evidence	Western Blot//Tunel//CCK8//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//Colony Formation Assay		1	Yes	Yes	RID03255
LDA0007425	MIR4435-2HG	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//MTT//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID03240
LDA0007448	MEG3	LncRNA	Homo sapiens	Strong/Weak evidence	In Vivo Experiment//Northern Blot//Western Blot//Transfection//Migration Assay//Flow Cytometry//qRT-PCR//CCK8//Luciferase Report Assay//PCR//Cell Proliferation Assay//Invasion Assay//Transwell Assay	RNA-seq	1	Yes	Yes	RID03180
LDA0007465	MEG3	LncRNA	Homo sapiens	Strong/Weak evidence	In Vivo Experiment//Tunel//RIP//MTT//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay//Co-IP//Migration Assay//IHC//RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Cell Cycle Assay//IF	Other	1	Yes	Unknown	RID03180
