spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	100	335715	71.6424	all_ICs	supported
Hv3	100	33863	82.4419	all_pacBioOnly_ICs	supported
Hv3	100	192729	62.5362	all_ONTonly_ICs	supported
Hv3	100	109123	91.4426	all_pacBio+ONT_ICs	supported
Hv3	100	79973	63.1439	novel_ICs	supported
Hv3	100	7460	74.6822	novel_pacBioOnly_ICs	supported
Hv3	100	48572	54.8917	novel_ONTonly_ICs	supported
Hv3	100	23941	84.9695	novel_pacBio+ONT_ICs	supported
Hv3	100	29023	60.8627	intergenic_ICs	supported
Hv3	100	1269	57.2137	intergenic_pacBioOnly_ICs	supported
Hv3	100	20318	56.4311	intergenic_ONTonly_ICs	supported
Hv3	100	7436	78.5797	intergenic_pacBio+ONT_ICs	supported
Hv3	101	335485	71.5933	all_ICs	supported
Hv3	101	33851	82.4127	all_pacBioOnly_ICs	supported
Hv3	101	192539	62.4745	all_ONTonly_ICs	supported
Hv3	101	109095	91.4191	all_pacBio+ONT_ICs	supported
Hv3	101	79880	63.0705	novel_ICs	supported
Hv3	101	7453	74.6121	novel_pacBioOnly_ICs	supported
Hv3	101	48498	54.8081	novel_ONTonly_ICs	supported
Hv3	101	23929	84.9269	novel_pacBio+ONT_ICs	supported
Hv3	101	28980	60.7726	intergenic_ICs	supported
Hv3	101	1268	57.1686	intergenic_pacBioOnly_ICs	supported
Hv3	101	20283	56.3338	intergenic_ONTonly_ICs	supported
Hv3	101	7429	78.5058	intergenic_pacBio+ONT_ICs	supported
Hv3	102	335224	71.5377	all_ICs	supported
Hv3	102	33836	82.3761	all_pacBioOnly_ICs	supported
Hv3	102	192337	62.409	all_ONTonly_ICs	supported
Hv3	102	109051	91.3822	all_pacBio+ONT_ICs	supported
Hv3	102	79791	63.0002	novel_ICs	supported
Hv3	102	7446	74.542	novel_pacBioOnly_ICs	supported
Hv3	102	48433	54.7346	novel_ONTonly_ICs	supported
Hv3	102	23912	84.8666	novel_pacBio+ONT_ICs	supported
Hv3	102	28927	60.6614	intergenic_ICs	supported
Hv3	102	1265	57.0334	intergenic_pacBioOnly_ICs	supported
Hv3	102	20242	56.22	intergenic_ONTonly_ICs	supported
Hv3	102	7420	78.4107	intergenic_pacBio+ONT_ICs	supported
Hv3	103	334995	71.4888	all_ICs	supported
Hv3	103	33822	82.3421	all_pacBioOnly_ICs	supported
Hv3	103	192159	62.3512	all_ONTonly_ICs	supported
Hv3	103	109014	91.3512	all_pacBio+ONT_ICs	supported
Hv3	103	79714	62.9394	novel_ICs	supported
Hv3	103	7443	74.512	novel_pacBioOnly_ICs	supported
Hv3	103	48377	54.6713	novel_ONTonly_ICs	supported
Hv3	103	23894	84.8027	novel_pacBio+ONT_ICs	supported
Hv3	103	28892	60.588	intergenic_ICs	supported
Hv3	103	1265	57.0334	intergenic_pacBioOnly_ICs	supported
Hv3	103	20214	56.1422	intergenic_ONTonly_ICs	supported
Hv3	103	7413	78.3367	intergenic_pacBio+ONT_ICs	supported
Hv3	104	334746	71.4356	all_ICs	supported
Hv3	104	33802	82.2934	all_pacBioOnly_ICs	supported
