spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Mv2	100	303539	74.5441	all_ICs	supported
Mv2	100	38496	87.1443	all_pacBioOnly_ICs	supported
Mv2	100	156047	63.1723	all_ONTonly_ICs	supported
Mv2	100	108996	93.9613	all_pacBio+ONT_ICs	supported
Mv2	100	86089	69.0635	novel_ICs	supported
Mv2	100	8395	80.3888	novel_pacBioOnly_ICs	supported
Mv2	100	49928	59.8356	novel_ONTonly_ICs	supported
Mv2	100	27766	90.246	novel_pacBio+ONT_ICs	supported
Mv2	100	35779	65.0799	intergenic_ICs	supported
Mv2	100	1598	61.6275	intergenic_pacBioOnly_ICs	supported
Mv2	100	23202	58.5141	intergenic_ONTonly_ICs	supported
Mv2	100	10979	86.2315	intergenic_pacBio+ONT_ICs	supported
Mv2	101	303298	74.4849	all_ICs	supported
Mv2	101	38474	87.0945	all_pacBioOnly_ICs	supported
Mv2	101	155858	63.0958	all_ONTonly_ICs	supported
Mv2	101	108966	93.9354	all_pacBio+ONT_ICs	supported
Mv2	101	85977	68.9736	novel_ICs	supported
Mv2	101	8387	80.3122	novel_pacBioOnly_ICs	supported
Mv2	101	49839	59.7289	novel_ONTonly_ICs	supported
Mv2	101	27751	90.1973	novel_pacBio+ONT_ICs	supported
Mv2	101	35706	64.9472	intergenic_ICs	supported
Mv2	101	1592	61.3961	intergenic_pacBioOnly_ICs	supported
Mv2	101	23146	58.3728	intergenic_ONTonly_ICs	supported
Mv2	101	10968	86.1451	intergenic_pacBio+ONT_ICs	supported
Mv2	102	303012	74.4147	all_ICs	supported
Mv2	102	38453	87.047	all_pacBioOnly_ICs	supported
Mv2	102	155633	63.0047	all_ONTonly_ICs	supported
Mv2	102	108926	93.9009	all_pacBio+ONT_ICs	supported
Mv2	102	85847	68.8693	novel_ICs	supported
Mv2	102	8381	80.2547	novel_pacBioOnly_ICs	supported
Mv2	102	49736	59.6055	novel_ONTonly_ICs	supported
Mv2	102	27730	90.129	novel_pacBio+ONT_ICs	supported
Mv2	102	35638	64.8235	intergenic_ICs	supported
Mv2	102	1589	61.2804	intergenic_pacBioOnly_ICs	supported
Mv2	102	23091	58.2341	intergenic_ONTonly_ICs	supported
Mv2	102	10958	86.0666	intergenic_pacBio+ONT_ICs	supported
Mv2	103	302731	74.3456	all_ICs	supported
Mv2	103	38433	87.0017	all_pacBioOnly_ICs	supported
Mv2	103	155415	62.9165	all_ONTonly_ICs	supported
Mv2	103	108883	93.8638	all_pacBio+ONT_ICs	supported
Mv2	103	85728	68.7739	novel_ICs	supported
Mv2	103	8377	80.2164	novel_pacBioOnly_ICs	supported
Mv2	103	49638	59.488	novel_ONTonly_ICs	supported
Mv2	103	27713	90.0738	novel_pacBio+ONT_ICs	supported
Mv2	103	35591	64.738	intergenic_ICs	supported
Mv2	103	1589	61.2804	intergenic_pacBioOnly_ICs	supported
Mv2	103	23054	58.1408	intergenic_ONTonly_ICs	supported
Mv2	103	10948	85.9881	intergenic_pacBio+ONT_ICs	supported
Mv2	104	302458	74.2786	all_ICs	supported
Mv2	104	38417	86.9655	all_pacBioOnly_ICs	supported
Mv2	104	155189	62.825	all_ONTonly_ICs	supported
Mv2	104	108852	93.8371	all_pacBio+ONT_ICs	supported
Mv2	104	85611	68.68	novel_ICs	supported
