geneID	bigtrans	chess3_1_2	fantomCat	gen27	gen47	gencodeLncRna	H_concat_catalogs	lncBookv2_0	mitrans	noncode	refseq
bigTranscriptome|LOC_000000013266	1	0	1	1	1	1	1	1	1	1	0
chess3_1_2|LOC_000000005189	0	1	0	0	1	0	1	1	1	0	0
fantomCat|LOC_000000045734	0	0	1	0	1	0	1	1	0	1	0
H_concat_catalogs|LOC_000000108897	0	1	0	0	0	0	1	1	0	1	1
NONCODE|LOC_000000039972	0	0	0	1	1	1	1	1	0	1	0
fantomCat|LOC_000000005049	0	0	1	0	0	0	1	1	1	0	0
gen47|ENSG00000298354.1	0	0	0	0	1	0	1	0	0	0	0
H_concat_catalogs|LOC_000000094403	0	0	0	0	0	0	1	1	1	1	1
lncBookv2_0|LOC_000000129180	0	0	0	0	0	0	1	1	1	0	0
fantomCat|LOC_000000021422	0	0	1	0	1	0	1	1	1	1	0
H_concat_catalogs|LOC_000000068143	0	0	0	0	0	0	1	1	0	1	0
gen47|ENSG00000310181.1	0	0	0	0	1	0	0	0	0	0	0
H_concat_catalogs|LOC_000000293379	0	0	0	0	0	0	1	1	1	0	0
bigTranscriptome|LOC_000000020424	1	0	1	1	1	1	1	1	1	1	0
H_concat_catalogs|LOC_000000241934	0	0	0	0	0	0	1	1	1	0	0
H_concat_catalogs|LOC_000000185168	0	0	0	0	0	0	1	1	1	0	0
gen47|ENSG00000296465.1	0	0	0	0	1	0	1	1	1	1	0
bigTranscriptome|LOC_000000019868	1	1	0	1	1	1	1	1	0	1	1
H_concat_catalogs|LOC_000000081389	0	0	0	0	0	0	1	0	0	1	0
lncBookv2_0|LOC_000000177138	0	0	0	0	0	0	1	1	1	1	0
lncBookv2_0|LOC_000000079880	0	0	0	0	0	0	0	1	0	0	0
fantomCat|LOC_000000016021	0	0	1	0	1	1	1	1	0	1	0
miTranscriptome|LOC_000000057067	0	0	0	0	0	0	1	1	1	0	1
gen47|ENSG00000298803.1	0	0	0	0	1	0	0	0	0	0	0
chess3_1_2|LOC_000000007840	0	1	0	0	0	0	1	1	0	1	1
fantomCat|LOC_000000034372	0	0	1	0	0	0	1	0	0	0	0
NONCODE|LOC_000000032527	0	0	0	0	0	0	1	1	0	1	1
H_concat_catalogs|LOC_000000240036	0	0	0	0	0	0	1	1	1	0	0
lncBookv2_0|LOC_000000037558	0	0	0	0	0	0	0	1	0	0	0
H_concat_catalogs|LOC_000000021928	0	0	0	0	0	0	1	1	0	1	1
H_concat_catalogs|LOC_000000015040	0	0	0	0	0	0	1	1	1	0	0
H_concat_catalogs|LOC_000000092478	0	0	0	0	0	0	1	1	1	0	0
H_concat_catalogs|LOC_000000318442	0	0	0	0	0	0	1	1	1	0	0
H_concat_catalogs|LOC_000000233507	0	0	0	0	0	0	1	0	0	1	0
H_concat_catalogs|LOC_000000087154	0	0	0	0	0	0	1	1	0	1	1
H_concat_catalogs|LOC_000000001504	0	0	0	0	0	0	1	1	1	0	0
fantomCat|LOC_000000000390	0	0	1	0	0	0	1	1	1	1	0
gen47|ENSG00000285870.2	0	0	0	0	1	0	0	1	0	0	0
H_concat_catalogs|LOC_000000093465	0	0	0	0	0	0	1	1	1	0	0
H_concat_catalogs|LOC_000000029208	0	0	0	0	0	0	1	1	1	0	0
bigTranscriptome|LOC_000000021921	1	0	0	1	1	1	1	1	0	1	0
miTranscriptome|LOC_000000007472	0	0	1	0	0	0	1	1	1	1	1
H_concat_catalogs|LOC_000000163038	0	0	0	0	0	0	1	1	1	0	0
H_concat_catalogs|LOC_000000205343	0	0	1	0	0	0	1	0	1	1	0
gen47|ENSG00000297090.1	0	0	0	0	1	0	1	1	1	0	0
H_concat_catalogs|LOC_000000082583	0	0	1	0	0	0	1	1	1	1	0
bigTranscriptome|LOC_000000000448	1	0	0	1	1	1	1	1	0	1	0
