id	MMU	HSAlifted	HSAlifted_cov	HSA	MMUlifted	MMUlifted_cov
ENSMUSG00000010492.12_ENSG00000280213.1	ENSMUSG00000010492.12	ENSG00000280213.1	0.077	ENSG00000280213.1	ENSMUSG00000010492.12	0.116
ENSMUSG00000021268.20_ENSG00000214548.19	ENSMUSG00000021268.20	ENSG00000214548.19	0.418	ENSG00000214548.19	ENSMUSG00000021268.20	0.486
ENSMUSG00000031559.17_ENSG00000305728.1	ENSMUSG00000031559.17	ENSG00000305728.1	0.678	ENSG00000305728.1	ENSMUSG00000031559.17	0.293
ENSMUSG00000031736.14_ENSG00000245694.13	ENSMUSG00000031736.14	ENSG00000245694.13	0.451	ENSG00000245694.13	ENSMUSG00000031736.14	0.239
ENSMUSG00000033731.12_ENSG00000258752.3	ENSMUSG00000033731.12	ENSG00000258752.3	0.400	ENSG00000258752.3	ENSMUSG00000033731.12	0.230
ENSMUSG00000038152.7_ENSG00000229931.4	ENSMUSG00000038152.7	ENSG00000229931.4	0.844	ENSG00000229931.4	ENSMUSG00000038152.7	0.873
ENSMUSG00000038408.17_ENSG00000281809.2	ENSMUSG00000038408.17	ENSG00000281809.2	0.124	ENSG00000281809.2	ENSMUSG00000038408.17	0.089
ENSMUSG00000039545.17_ENSG00000286181.1	ENSMUSG00000039545.17	ENSG00000286181.1	0.320	ENSG00000286181.1	ENSMUSG00000039545.17	0.257
ENSMUSG00000043168.14_ENSG00000228835.1	ENSMUSG00000043168.14	ENSG00000228835.1	0.937	ENSG00000228835.1	ENSMUSG00000043168.14	0.980
ENSMUSG00000043833.9_ENSG00000239911.5	ENSMUSG00000043833.9	ENSG00000239911.5	0.107	ENSG00000239911.5	ENSMUSG00000043833.9	0.058
ENSMUSG00000043993.9_ENSG00000262877.6	ENSMUSG00000043993.9	ENSG00000262877.6	0.295	ENSG00000262877.6	ENSMUSG00000043993.9	0.301
ENSMUSG00000044471.15_ENSG00000231721.9	ENSMUSG00000044471.15	ENSG00000231721.9	0.143	ENSG00000231721.9	ENSMUSG00000044471.15	0.343
ENSMUSG00000044694.4_ENSG00000196167.11	ENSMUSG00000044694.4	ENSG00000196167.11	0.165	ENSG00000196167.11	ENSMUSG00000044694.4	0.626
ENSMUSG00000044997.5_ENSG00000286041.2	ENSMUSG00000044997.5	ENSG00000286041.2	0.318	ENSG00000286041.2	ENSMUSG00000044997.5	0.115
ENSMUSG00000045464.8_ENSG00000254907.2	ENSMUSG00000045464.8	ENSG00000254907.2	0.070	ENSG00000254907.2	ENSMUSG00000045464.8	0.119
ENSMUSG00000048636.9_ENSG00000241158.7	ENSMUSG00000048636.9	ENSG00000241158.7	0.375	ENSG00000241158.7	ENSMUSG00000048636.9	0.233
ENSMUSG00000050334.15_ENSG00000245526.14	ENSMUSG00000050334.15	ENSG00000245526.14	0.448	ENSG00000245526.14	ENSMUSG00000050334.15	0.776
ENSMUSG00000052248.19_ENSG00000238057.11	ENSMUSG00000052248.19	ENSG00000238057.11	0.977	ENSG00000238057.11	ENSMUSG00000052248.19	0.963
ENSMUSG00000052371.7_ENSG00000298646.1	ENSMUSG00000052371.7	ENSG00000298646.1	0.140	ENSG00000298646.1	ENSMUSG00000052371.7	0.817
ENSMUSG00000052479.7_ENSG00000303989.1	ENSMUSG00000052479.7	ENSG00000303989.1	0.475	ENSG00000303989.1	ENSMUSG00000052479.7	0.346
ENSMUSG00000052769.11_ENSG00000225938.4	ENSMUSG00000052769.11	ENSG00000225938.4	0.310	ENSG00000225938.4	ENSMUSG00000052769.11	0.436
