ovlp_gene	gene_id	collapsing_category	collapsing_gene_id	gnSimpleBiotype	coverage
1	ENSMUSG00000000031.20	Equal,Extends,Included,Overlaps	ENSG00000130600.23	lncRNA	0.921
1	ENSMUSG00000009551.4	Overlaps	ENSG00000286196.2	lncRNA	0.254
1	ENSMUSG00000010492.12	Included,Overlaps	ENSG00000280213.1	lncRNA	0.116
1	ENSMUSG00000021268.20	Included,Equal,Overlaps	ENSG00000214548.19	lncRNA	0.486
1	ENSMUSG00000022116.9	Overlaps,Included	ENSG00000310363.1,ENSG00000229011.2	lncRNA	0.073
1	ENSMUSG00000025783.4	Overlaps	ENSG00000197308.10	lncRNA	0.782
1	ENSMUSG00000029878.7	Included	ENSG00000293464.2	lncRNA	0.070
1	ENSMUSG00000031559.17	Overlaps,Included	ENSG00000305728.1	lncRNA	0.293
1	ENSMUSG00000031736.14	Overlaps,Included	ENSG00000245694.13	lncRNA	0.239
1	ENSMUSG00000033015.19	Overlaps,Included	ENSG00000233891.9	lncRNA	0.374
1	ENSMUSG00000033731.12	Included	ENSG00000258752.3	lncRNA	0.230
1	ENSMUSG00000038152.7	Overlaps,Included	ENSG00000229931.4	lncRNA	0.873
1	ENSMUSG00000038408.17	Overlaps,Included	ENSG00000281809.2	lncRNA	0.089
1	ENSMUSG00000039545.17	Overlaps	ENSG00000286181.1	lncRNA	0.257
1	ENSMUSG00000041674.18	Included,Overlaps	ENSG00000228639.9,ENSG00000234899.12	lncRNA	0.124
1	ENSMUSG00000043168.14	Overlaps,Equal	ENSG00000228835.1	lncRNA	0.980
1	ENSMUSG00000043833.9	Included,Overlaps	ENSG00000239911.5	lncRNA	0.058
1	ENSMUSG00000043993.9	Overlaps	ENSG00000262877.6	lncRNA	0.301
1	ENSMUSG00000044471.15	Overlaps,Included,Extends	ENSG00000231721.9	lncRNA	0.343
1	ENSMUSG00000044694.4	Overlaps	ENSG00000196167.11	lncRNA	0.626
1	ENSMUSG00000044997.5	Overlaps,Included	ENSG00000286041.2	lncRNA	0.115
1	ENSMUSG00000045391.6	Included	ENSG00000307702.1	lncRNA	0.084
1	ENSMUSG00000045464.8	Overlaps,Included	ENSG00000254907.2	lncRNA	0.119
1	ENSMUSG00000046413.18	Overlaps	ENSG00000287885.2	lncRNA	0.588
1	ENSMUSG00000047935.20	Overlaps,Included	ENSG00000308369.1,ENSG00000224243.3,ENSG00000295838.1	lncRNA	0.357
1	ENSMUSG00000047938.9	Overlaps,Included	ENSG00000301306.1	lncRNA	0.276
1	ENSMUSG00000047988.3	Overlaps	ENSG00000305566.1	lncRNA	0.482
1	ENSMUSG00000048628.7	Overlaps	ENSG00000294914.1	lncRNA	0.456
1	ENSMUSG00000048636.9	Overlaps,Included	ENSG00000241158.7	lncRNA	0.233
1	ENSMUSG00000050334.15	Overlaps,Extends,Equal,Included	ENSG00000245526.14	lncRNA	0.776
1	ENSMUSG00000051295.10	Overlaps	ENSG00000308877.1	lncRNA	0.304
1	ENSMUSG00000052248.19	Overlaps,Equal,Included	ENSG00000238057.11	lncRNA	0.963
1	ENSMUSG00000052371.7	Overlaps	ENSG00000237380.8,ENSG00000298646.1	lncRNA	0.817
1	ENSMUSG00000052479.7	Extends,Overlaps	ENSG00000303989.1	lncRNA	0.346
1	ENSMUSG00000052769.11	Included	ENSG00000225938.4	lncRNA	0.436
1	ENSMUSG00000052848.9	Overlaps	ENSG00000224027.2	lncRNA	0.125
1	ENSMUSG00000052951.7	Overlaps,Included	ENSG00000224842.3	lncRNA	0.216
1	ENSMUSG00000053117.14	Overlaps	ENSG00000238276.8	lncRNA	0.224
1	ENSMUSG00000053214.9	Overlaps	ENSG00000295291.1	lncRNA	0.201
1	ENSMUSG00000053263.5	Overlaps	ENSG00000228839.6	lncRNA	0.725
1	ENSMUSG00000053332.16	Extends,Overlaps,Equal,Included	ENSG00000234741.11	lncRNA	0.168
1	ENSMUSG00000053615.2	Overlaps	ENSG00000259705.2	lncRNA	0.559
1	ENSMUSG00000053714.11	Overlaps	ENSG00000213904.12	lncRNA	0.100
1	ENSMUSG00000054057.4	Overlaps,Included	ENSG00000204682.10	lncRNA	0.459
1	ENSMUSG00000054457.8	Overlaps,Included	ENSG00000233508.5	lncRNA	0.316
1	ENSMUSG00000054493.4	Overlaps	ENSG00000235531.12	lncRNA	0.242
1	ENSMUSG00000054945.6	Included	ENSG00000250220.2	lncRNA	0.354
1	ENSMUSG00000055045.7	Overlaps,Included	ENSG00000238007.2	lncRNA	0.113
1	ENSMUSG00000055134.7	Overlaps	ENSG00000265349.1	lncRNA	0.345
1	ENSMUSG00000055323.8	Overlaps,Included	ENSG00000250616.5	lncRNA	0.114
1	ENSMUSG00000056031.16	Overlaps	ENSG00000286875.2	lncRNA	0.512
1	ENSMUSG00000056735.8	Overlaps	ENSG00000256742.2	lncRNA	0.211
1	ENSMUSG00000056753.5	Overlaps	ENSG00000275091.1	lncRNA	0.263
1	ENSMUSG00000059027.17	Overlaps	ENSG00000299324.1	lncRNA	0.932
1	ENSMUSG00000059277.15	Included	ENSG00000238184.1	lncRNA	0.066
1	ENSMUSG00000059706.6	Included,Overlaps	ENSG00000266473.2	lncRNA	0.258
1	ENSMUSG00000060424.17	Overlaps,Included	ENSG00000233639.10	lncRNA	0.308
1	ENSMUSG00000063087.17	Overlaps,Included	ENSG00000237036.8	lncRNA	0.189
1	ENSMUSG00000063714.18	Overlaps,Included	ENSG00000307158.1	lncRNA	0.159
1	ENSMUSG00000066477.15	Overlaps,Equal,Included	ENSG00000259203.5	lncRNA	0.506
1	ENSMUSG00000066938.4	Included	ENSG00000269210.4	lncRNA	0.336
1	ENSMUSG00000070315.15	Overlaps,Included	ENSG00000280832.4	lncRNA	0.107
1	ENSMUSG00000071753.16	Overlaps,Included	ENSG00000203930.15	lncRNA	0.187
1	ENSMUSG00000072591.14	Overlaps,Included	ENSG00000250208.8	lncRNA	0.170
1	ENSMUSG00000072809.4	Included	ENSG00000299228.1	lncRNA	0.340
1	ENSMUSG00000073073.6	Overlaps,Included	ENSG00000304706.1	lncRNA	0.154
1	ENSMUSG00000073147.6	Included,Overlaps	ENSG00000239569.6	lncRNA	0.251
1	ENSMUSG00000073236.7	Overlaps	ENSG00000305457.1	lncRNA	0.258
1	ENSMUSG00000073394.6	Overlaps	ENSG00000271857.2	lncRNA	0.566
1	ENSMUSG00000073532.4	Overlaps	ENSG00000270112.6	lncRNA	0.143
1	ENSMUSG00000073594.4	Overlaps	ENSG00000278901.1	lncRNA	0.704
1	ENSMUSG00000073652.12	Overlaps,Included	ENSG00000230695.3	lncRNA	0.122
1	ENSMUSG00000073759.8	Overlaps	ENSG00000284623.2	lncRNA	0.379
1	ENSMUSG00000074213.4	Included	ENSG00000245975.3	lncRNA	0.738
1	ENSMUSG00000074219.5	Overlaps	ENSG00000267169.3	lncRNA	0.312
1	ENSMUSG00000074235.6	Overlaps,Included	ENSG00000287292.2	lncRNA	0.176
1	ENSMUSG00000074256.5	Extends,Overlaps	ENSG00000303328.1	lncRNA	0.934
1	ENSMUSG00000074274.10	Overlaps	ENSG00000254887.3	lncRNA	0.100
1	ENSMUSG00000074346.8	Overlaps,Included	ENSG00000231437.4	lncRNA	0.756
1	ENSMUSG00000074373.8	Equal,Overlaps	ENSG00000285513.1	lncRNA	0.939
1	ENSMUSG00000074385.5	Overlaps	ENSG00000309913.1	lncRNA	0.161
1	ENSMUSG00000074415.18	Overlaps,Equal,Extends,Included	ENSG00000255248.11	lncRNA	0.550
1	ENSMUSG00000074466.15	Overlaps,Extends,Included	ENSG00000289103.3	lncRNA	0.446
1	ENSMUSG00000074517.3	Overlaps	ENSG00000308425.1	lncRNA	0.702
1	ENSMUSG00000074912.13	Overlaps,Included	ENSG00000305441.1	lncRNA	0.483
1	ENSMUSG00000075020.9	Overlaps,Included	ENSG00000235661.4,ENSG00000283341.5	lncRNA	0.364
1	ENSMUSG00000075070.8	Overlaps,Included	ENSG00000242880.3	lncRNA	0.329
1	ENSMUSG00000075277.7	Overlaps,Included	ENSG00000224189.9	lncRNA	0.699
1	ENSMUSG00000075286.6	Overlaps,Included	ENSG00000214146.4	lncRNA	0.100
1	ENSMUSG00000075389.6	Included	ENSG00000287431.2	lncRNA	0.308
1	ENSMUSG00000075534.7	Overlaps,Included	ENSG00000197308.10	lncRNA	0.437
1	ENSMUSG00000075576.14	Overlaps	ENSG00000310351.1	lncRNA	0.848
1	ENSMUSG00000075585.5	Overlaps,Included	ENSG00000223855.5	lncRNA	0.516
1	ENSMUSG00000075589.4	Overlaps	ENSG00000230148.9	lncRNA	0.257
1	ENSMUSG00000078122.7	Included	ENSG00000274536.10	lncRNA	0.074
1	ENSMUSG00000078190.8	Equal,Overlaps	ENSG00000230630.6	lncRNA	0.755
1	ENSMUSG00000078700.13	Overlaps,Included	ENSG00000234494.9	lncRNA	0.164
1	ENSMUSG00000078706.7	Overlaps,Included	ENSG00000272763.2	lncRNA	0.495
1	ENSMUSG00000079001.3	Overlaps,Included	ENSG00000302638.1	lncRNA	0.244
1	ENSMUSG00000079045.6	Overlaps,Included	ENSG00000230461.11,ENSG00000274895.1	lncRNA	0.189
1	ENSMUSG00000079467.11	Overlaps	ENSG00000269038.2	lncRNA	0.103
1	ENSMUSG00000079604.10	Overlaps,Included	ENSG00000297769.1	lncRNA	0.067
1	ENSMUSG00000079669.5	Overlaps,Included	ENSG00000235904.4	lncRNA	0.336
1	ENSMUSG00000079671.11	Overlaps,Included	ENSG00000246145.2	lncRNA	0.153
1	ENSMUSG00000080727.5	Included	ENSG00000289041.2	lncRNA	0.102
1	ENSMUSG00000082766.3	Included	ENSG00000298117.1	lncRNA	0.056
1	ENSMUSG00000084085.4	Included	ENSG00000230749.6	lncRNA	0.764
1	ENSMUSG00000084761.3	Overlaps,Included	ENSG00000230729.2	lncRNA	0.526
1	ENSMUSG00000084789.3	Overlaps,Included	ENSG00000289452.2	lncRNA	0.245
1	ENSMUSG00000084796.4	Included	ENSG00000265206.7	lncRNA	0.257
1	ENSMUSG00000084799.10	Overlaps,Extends,Included	ENSG00000227946.4	lncRNA	0.421
1	ENSMUSG00000084802.3	Overlaps	ENSG00000259536.6	lncRNA	0.103
1	ENSMUSG00000084811.4	Overlaps	ENSG00000303866.1	lncRNA	0.247
1	ENSMUSG00000084822.3	Overlaps	ENSG00000235296.3	lncRNA	0.530
1	ENSMUSG00000084844.6	Overlaps,Included,Equal	ENSG00000230148.9	lncRNA	0.680
1	ENSMUSG00000084861.3	Overlaps	ENSG00000298151.1	lncRNA	0.119
1	ENSMUSG00000084865.3	Overlaps,Included	ENSG00000236333.5	lncRNA	0.293
1	ENSMUSG00000084873.4	Included	ENSG00000301045.1	lncRNA	0.166
1	ENSMUSG00000084890.4	Overlaps	ENSG00000265359.2	lncRNA	0.375
1	ENSMUSG00000084925.10	Overlaps,Included	ENSG00000221817.13	lncRNA	0.338
1	ENSMUSG00000084946.5	Overlaps,Included	ENSG00000288958.2	lncRNA	0.833
1	ENSMUSG00000084997.8	Overlaps,Included	ENSG00000243004.8	lncRNA	0.287
1	ENSMUSG00000085015.4	Equal,Overlaps,Included	ENSG00000226363.5	lncRNA	0.204
1	ENSMUSG00000085020.3	Included	ENSG00000230030.2	lncRNA	0.086
1	ENSMUSG00000085048.3	Overlaps	ENSG00000298362.1	lncRNA	0.327
1	ENSMUSG00000085055.4	Included	ENSG00000267774.2	lncRNA	0.173
1	ENSMUSG00000085067.5	Overlaps,Included	ENSG00000288831.3	lncRNA	0.511
1	ENSMUSG00000085069.3	Included	ENSG00000177133.15	lncRNA	0.116
1	ENSMUSG00000085105.4	Overlaps	ENSG00000267219.2	lncRNA	0.444
1	ENSMUSG00000085121.4	Overlaps	ENSG00000232650.6	lncRNA	0.762
1	ENSMUSG00000085148.2	Equal	ENSG00000186594.17	lncRNA	0.360
1	ENSMUSG00000085154.10	Overlaps	ENSG00000261886.2	lncRNA	0.175
1	ENSMUSG00000085167.4	Overlaps	ENSG00000294552.1	lncRNA	0.863
1	ENSMUSG00000085182.4	Overlaps	ENSG00000306224.1	lncRNA	0.124
1	ENSMUSG00000085184.11	Overlaps	ENSG00000272668.3	lncRNA	0.071
1	ENSMUSG00000085201.3	Included	ENSG00000224020.4	lncRNA	0.252
1	ENSMUSG00000085207.4	Overlaps,Included	ENSG00000262873.3,ENSG00000226137.6	lncRNA	0.066
1	ENSMUSG00000085230.3	Overlaps	ENSG00000286356.2	lncRNA	0.348
1	ENSMUSG00000085246.3	Overlaps	ENSG00000294834.1	lncRNA	0.634
1	ENSMUSG00000085256.4	Overlaps,Equal	ENSG00000225767.2	lncRNA	0.534
1	ENSMUSG00000085261.4	Overlaps	ENSG00000297260.1	lncRNA	0.286
1	ENSMUSG00000085282.11	Overlaps	ENSG00000286043.2	lncRNA	0.315
1	ENSMUSG00000085314.2	Overlaps	ENSG00000284391.2	lncRNA	0.569
1	ENSMUSG00000085318.2	Overlaps	ENSG00000306592.1	lncRNA	0.274
1	ENSMUSG00000085338.3	Overlaps,Included	ENSG00000294432.1	lncRNA	0.453
1	ENSMUSG00000085348.3	Overlaps	ENSG00000272975.3	lncRNA	0.490
1	ENSMUSG00000085355.5	Overlaps	ENSG00000177340.5	lncRNA	0.346
1	ENSMUSG00000085389.10	Overlaps	ENSG00000301119.1	lncRNA	0.249
1	ENSMUSG00000085402.3	Overlaps,Included	ENSG00000308483.1	lncRNA	0.362
1	ENSMUSG00000085413.3	Overlaps	ENSG00000287873.2	lncRNA	0.402
1	ENSMUSG00000085415.2	Overlaps	ENSG00000266978.2	lncRNA	0.329
1	ENSMUSG00000085427.9	Overlaps	ENSG00000296237.1	lncRNA	0.249
1	ENSMUSG00000085463.2	Equal	ENSG00000233721.2	lncRNA	0.903
1	ENSMUSG00000085470.4	Overlaps,Included	ENSG00000229196.5	lncRNA	0.407
1	ENSMUSG00000085555.12	Included	ENSG00000288060.2	lncRNA	0.339
1	ENSMUSG00000085568.9	Included,Overlaps	ENSG00000301521.1	lncRNA	0.626
1	ENSMUSG00000085596.3	Included	ENSG00000306197.1	lncRNA	0.074
1	ENSMUSG00000085609.4	Overlaps,Included	ENSG00000263050.2	lncRNA	0.348
1	ENSMUSG00000085614.4	Overlaps	ENSG00000254057.1	lncRNA	0.061
1	ENSMUSG00000085640.3	Included,Overlaps	ENSG00000309883.1	lncRNA	0.253
1	ENSMUSG00000085641.3	Overlaps,Included	ENSG00000259119.1	lncRNA	0.317
1	ENSMUSG00000085645.4	Overlaps	ENSG00000233101.11	lncRNA	0.888
1	ENSMUSG00000085657.9	Overlaps	ENSG00000306907.1	lncRNA	0.267
1	ENSMUSG00000085680.3	Overlaps,Included	ENSG00000233642.2	lncRNA	0.462
1	ENSMUSG00000085696.9	Overlaps	ENSG00000254369.7	lncRNA	0.951
1	ENSMUSG00000085723.4	Overlaps,Included	ENSG00000293270.2	lncRNA	0.192
1	ENSMUSG00000085725.4	Included,Overlaps	ENSG00000267577.2	lncRNA	0.210
1	ENSMUSG00000085741.11	Overlaps	ENSG00000303282.1	lncRNA	0.322
1	ENSMUSG00000085763.3	Included	ENSG00000297079.1	lncRNA	0.099
1	ENSMUSG00000085767.3	Included,Overlaps	ENSG00000295942.1	lncRNA	0.142
1	ENSMUSG00000085820.9	Included	ENSG00000197176.8	lncRNA	0.181
1	ENSMUSG00000085838.2	Overlaps	ENSG00000236449.3	lncRNA	0.779
1	ENSMUSG00000085860.4	Overlaps,Included	ENSG00000296690.1	lncRNA	0.129
1	ENSMUSG00000085875.5	Overlaps,Included	ENSG00000228436.5	lncRNA	0.314
1	ENSMUSG00000085890.10	Included,Overlaps	ENSG00000276384.2	lncRNA	0.342
1	ENSMUSG00000085919.3	Overlaps,Included	ENSG00000223726.2	lncRNA	0.127
1	ENSMUSG00000085936.10	Included,Overlaps	ENSG00000272168.11	lncRNA	0.098
1	ENSMUSG00000085940.3	Overlaps	ENSG00000288036.2	lncRNA	0.463
1	ENSMUSG00000085956.4	Overlaps	ENSG00000232671.9	lncRNA	0.561
1	ENSMUSG00000085958.2	Overlaps	ENSG00000300065.1	lncRNA	0.469
1	ENSMUSG00000085995.5	Included	ENSG00000255308.2	lncRNA	0.071
1	ENSMUSG00000086016.3	Overlaps	ENSG00000274425.1	lncRNA	0.347
1	ENSMUSG00000086029.9	Included	ENSG00000281880.2	lncRNA	0.102
1	ENSMUSG00000086031.3	Overlaps,Included	ENSG00000309439.1	lncRNA	0.449
1	ENSMUSG00000086047.3	Overlaps	ENSG00000270482.2	lncRNA	0.243
1	ENSMUSG00000086054.4	Included	ENSG00000241388.7	lncRNA	0.136
1	ENSMUSG00000086060.3	Included,Overlaps	ENSG00000259097.4	lncRNA	0.108
1	ENSMUSG00000086096.4	Overlaps	ENSG00000230798.8	lncRNA	0.941
1	ENSMUSG00000086111.4	Overlaps	ENSG00000306891.1	lncRNA	0.581
1	ENSMUSG00000086126.3	Overlaps,Included	ENSG00000253405.2	lncRNA	0.218
1	ENSMUSG00000086141.10	Overlaps,Included,Equal	ENSG00000259974.6	lncRNA	0.237
1	ENSMUSG00000086144.4	Overlaps	ENSG00000280916.5	lncRNA	0.275
1	ENSMUSG00000086148.3	Overlaps	ENSG00000300708.1	lncRNA	0.492
1	ENSMUSG00000086150.3	Included,Overlaps	ENSG00000226455.1	lncRNA	0.443
1	ENSMUSG00000086155.10	Overlaps	ENSG00000309284.1	lncRNA	0.308
1	ENSMUSG00000086166.3	Overlaps	ENSG00000231977.3	lncRNA	0.085
1	ENSMUSG00000086171.9	Overlaps	ENSG00000287241.2	lncRNA	0.848
1	ENSMUSG00000086173.9	Overlaps	ENSG00000283638.4	lncRNA	0.692
1	ENSMUSG00000086188.3	Overlaps	ENSG00000301893.1	lncRNA	0.351
1	ENSMUSG00000086191.4	Overlaps,Included	ENSG00000248714.8	lncRNA	0.301
1	ENSMUSG00000086193.4	Included	ENSG00000302377.1	lncRNA	0.301
1	ENSMUSG00000086216.3	Included	ENSG00000176868.3	lncRNA	0.619
1	ENSMUSG00000086224.10	Overlaps,Equal,Included	ENSG00000253661.4	lncRNA	0.523
