mm10	mm10 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000104953.1	ncRNA	ENSG00000227995.1	other	many-to-many
ENSMUSG00000052504.6	pc	ENSG00000044524.10	pc	one-to-one
ENSMUSG00000040254.11	pc	ENSG00000153993.13	pc	one-to-one
ENSMUSG00000028696.12	pc	ENSG00000197429.10	pc	one-to-many
ENSMUSG00000065676.1	ncRNA	ENSG00000198242.13	pc	many-to-many
ENSMUSG00000029580.14	pc	ENSG00000176183.8	other	many-to-many
ENSMUSG00000029209.15	pc	ENSG00000163281.11	pc	one-to-many
ENSMUSG00000032085.5	pc	ENSG00000149591.16	pc	one-to-many
ENSMUSG00000066647.6	pc	ENSG00000197566.9	pc	many-to-many
ENSMUSG00000028756.12	pc	ENSG00000158828.7	pc	many-to-many
ENSMUSG00000089509.1	ncRNA	ENSG00000201672.1	ncRNA	many-to-many
ENSMUSG00000095571.2	other	ENSG00000211972.2	other	many-to-many
ENSMUSG00000101128.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000040620.15	pc	ENSG00000108561.8	pc	many-to-many
ENSMUSG00000113627.1	other	ENSG00000284564.1	ncRNA	many-to-many
ENSMUSG00000089682.10	pc	ENSG00000258643.5	pc	many-to-many
ENSMUSG00000045532.5	pc	ENSG00000260134.1	other	one-to-many
ENSMUSG00000071521.4	pc	ENSG00000275896.5	pc	many-to-many
ENSMUSG00000072978.3	other	ENSG00000227062.2	other	many-to-many
ENSMUSG00000048004.15	pc	ENSG00000173452.13	pc	one-to-one
ENSMUSG00000045795.10	pc	ENSG00000215302.8	other	many-to-many
ENSMUSG00000020477.10	pc	ENSG00000255533.1	other	many-to-many
ENSMUSG00000083053.1	other	ENSG00000100722.18	pc	many-to-many
ENSMUSG00000111886.1	other	ENSG00000224858.5	other	many-to-many
ENSMUSG00000114279.1	pc	ENSG00000273703.1	pc	one-to-one
ENSMUSG00000027810.14	pc	ENSG00000144895.11	pc	one-to-many
ENSMUSG00000069307.6	pc	ENSG00000233822.4	pc	one-to-many
ENSMUSG00000083528.1	other	ENSG00000237584.1	other	one-to-many
ENSMUSG00000028965.13	pc	ENSG00000049249.8	pc	one-to-one
ENSMUSG00000094488.2	pc	ENSG00000180016.2	pc	one-to-many
ENSMUSG00000062743.9	pc	ENSG00000167232.13	pc	many-to-many
ENSMUSG00000090989.1	other	ENSG00000170054.14	pc	many-to-many
ENSMUSG00000070605.4	pc	ENSG00000152926.14	pc	many-to-many
ENSMUSG00000106006.1	other	ENSG00000233913.7	other	one-to-many
ENSMUSG00000048573.9	pc	ENSG00000224440.1	pc	one-to-many
ENSMUSG00000070369.13	pc	ENSG00000156886.11	pc	many-to-many
ENSMUSG00000054142.4	pc	ENSG00000257609.1	other	many-to-many
ENSMUSG00000099971.1	lncRNA	ENSG00000225791.6	lncRNA	one-to-one
ENSMUSG00000070868.11	pc	ENSG00000242267.6	other	one-to-many
ENSMUSG00000070719.4	pc	ENSG00000159337.6	pc	many-to-many
ENSMUSG00000110177.1	other	ENSG00000186625.13	pc	one-to-many
ENSMUSG00000020566.19	pc	ENSG00000236162.1	lncRNA	one-to-many
ENSMUSG00000099942.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000032269.8	pc	ENSG00000186038.9	pc	many-to-many
ENSMUSG00000020719.14	pc	ENSG00000284564.1	ncRNA	many-to-many
ENSMUSG00000020610.16	pc	ENSG00000141337.12	pc	many-to-many
ENSMUSG00000108073.1	other	ENSG00000198618.5	other	one-to-many
ENSMUSG00000088410.1	ncRNA	ENSG00000133112.16	pc	many-to-many
ENSMUSG00000024786.9	pc	ENSG00000168070.11	pc	one-to-many
ENSMUSG00000020640.10	pc	ENSG00000230373.8	other	many-to-many
ENSMUSG00000061637.5	pc	ENSG00000197786.3	pc	one-to-many
ENSMUSG00000099244.1	ncRNA	ENSG00000276100.1	ncRNA	many-to-many
ENSMUSG00000097100.1	lncRNA	ENSG00000179364.13	pc	one-to-many
ENSMUSG00000025534.17	pc	ENSG00000224723.1	other	many-to-many
ENSMUSG00000104536.1	ncRNA	ENSG00000252122.1	ncRNA	one-to-many
ENSMUSG00000080708.1	other	ENSG00000265836.1	other	many-to-many
ENSMUSG00000064417.1	ncRNA	ENSG00000202142.1	ncRNA	many-to-many
ENSMUSG00000064862.1	ncRNA	ENSG00000206885.1	ncRNA	many-to-many
ENSMUSG00000023926.7	pc	ENSG00000112077.15	pc	one-to-one
ENSMUSG00000079049.9	pc	ENSG00000021355.12	pc	one-to-many
ENSMUSG00000039046.15	pc	ENSG00000224267.1	lncRNA	many-to-many
ENSMUSG00000003992.14	pc	ENSG00000145687.16	pc	one-to-one
ENSMUSG00000093796.1	other	ENSG00000243314.1	other	one-to-many
ENSMUSG00000085415.1	lncRNA	ENSG00000219532.2	other	one-to-many
ENSMUSG00000095479.1	ncRNA	ENSG00000277785.1	ncRNA	many-to-many
ENSMUSG00000109578.1	other	ENSG00000180777.13	pc	many-to-many
ENSMUSG00000074930.5	other	ENSG00000218426.5	other	one-to-many
ENSMUSG00000030801.10	pc	ENSG00000261385.1	lncRNA	many-to-many
ENSMUSG00000095432.9	pc	ENSG00000182141.10	pc	many-to-many
ENSMUSG00000049103.14	pc	ENSG00000121807.5	pc	one-to-one
ENSMUSG00000088019.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000057580.4	other	ENSG00000235957.1	other	one-to-many
ENSMUSG00000103081.2	other	ENSG00000248449.2	other	many-to-many
ENSMUSG00000099093.1	ncRNA	ENSG00000262500.1	other	many-to-many
ENSMUSG00000065304.1	ncRNA	ENSG00000206634.1	ncRNA	many-to-many
ENSMUSG00000086848.3	pc	ENSG00000235942.2	pc	one-to-one
ENSMUSG00000103124.1	pc	ENSG00000147588.6	pc	many-to-many
ENSMUSG00000077292.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000040452.9	pc	ENSG00000249230.1	other	many-to-many
ENSMUSG00000035448.9	pc	ENSG00000183625.14	pc	one-to-one
ENSMUSG00000002546.16	pc	ENSG00000214433.4	other	many-to-many
ENSMUSG00000105053.1	pc	ENSG00000134262.12	pc	many-to-many
ENSMUSG00000064247.14	pc	ENSG00000182378.13_PAR_Y	pc	one-to-many
ENSMUSG00000107211.1	other	ENSG00000265881.1	other	many-to-many
ENSMUSG00000071478.6	pc	ENSG00000242387.1	other	many-to-many
ENSMUSG00000046676.4	pc	ENSG00000229713.1	other	one-to-many
ENSMUSG00000077383.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000095917.2	pc	ENSG00000196832.4	pc	one-to-many
ENSMUSG00000115838.1	other	ENSG00000029993.14	pc	one-to-many
ENSMUSG00000076754.2	other	ENSG00000211693.2	other	one-to-many
ENSMUSG00000053399.9	pc	ENSG00000140873.15	pc	one-to-one
