ovlp_gene	gene_id	collapsing_category	collapsing_gene_id	gnSimpleBiotype	coverage
1	ENSG00000125462.21	Overlaps,Included,Equal	ENSMUSG00000097156.10	lncRNA	0.252
1	ENSG00000152931.10	Included	ENSMUSG00000123152.1	lncRNA	0.111
1	ENSG00000157306.15	Overlaps,Equal	ENSMUSG00000093452.6	lncRNA	0.570
1	ENSG00000163081.4	Included	ENSMUSG00000120041.2	lncRNA	0.123
1	ENSG00000166917.12	Included,Overlaps	ENSMUSG00000085354.3	lncRNA	0.262
1	ENSG00000176868.3	Overlaps	ENSMUSG00000086216.3	lncRNA	0.221
1	ENSG00000177133.15	Overlaps,Included	ENSMUSG00000120023.2,ENSMUSG00000085069.3	lncRNA	0.219
1	ENSG00000177337.10	Included,Overlaps	ENSMUSG00000097282.2	lncRNA	0.107
1	ENSG00000177640.17	Overlaps,Included	ENSMUSG00000091378.3	lncRNA	0.392
1	ENSG00000177822.11	Overlaps,Included,Equal	ENSMUSG00000100706.9,ENSMUSG00000125695.1	lncRNA	0.274
1	ENSG00000178107.3	Included	ENSMUSG00000115454.3	lncRNA	0.244
1	ENSG00000178722.17	Included,Overlaps	ENSMUSG00000114807.3	lncRNA	0.180
1	ENSG00000179136.9	Overlaps,Included	ENSMUSG00000085162.10	lncRNA	0.167
1	ENSG00000180769.10	Overlaps,Included	ENSMUSG00000106492.4	lncRNA	0.101
1	ENSG00000182257.8	Overlaps	ENSMUSG00000127276.1	lncRNA	0.070
1	ENSG00000183242.14	Overlaps,Included	ENSMUSG00000074987.12	lncRNA	0.200
1	ENSG00000184068.2	Overlaps	ENSMUSG00000120783.2	lncRNA	0.401
1	ENSG00000186594.17	Equal,Included,Overlaps	ENSMUSG00000085148.2	lncRNA	0.249
1	ENSG00000186960.15	Included,Overlaps	ENSMUSG00000104861.3	lncRNA	0.363
1	ENSG00000196167.11	Overlaps,Included	ENSMUSG00000044694.4	lncRNA	0.165
1	ENSG00000197176.8	Overlaps	ENSMUSG00000085820.9	lncRNA	0.233
1	ENSG00000197182.17	Overlaps,Included	ENSMUSG00000116305.4	lncRNA	0.215
1	ENSG00000197308.10	Overlaps,Included	ENSMUSG00000025783.4,ENSMUSG00000075534.7	lncRNA	0.705
1	ENSG00000197322.5	Overlaps,Included	ENSMUSG00000113710.3	lncRNA	0.186
1	ENSG00000197734.10	Included	ENSMUSG00000140929.1	lncRNA	0.286
1	ENSG00000203706.10	Overlaps	ENSMUSG00000089812.5	lncRNA	0.755
1	ENSG00000203709.15	Overlaps,Extends,Included	ENSMUSG00000096929.10	lncRNA	0.374
1	ENSG00000203876.11	Overlaps	ENSMUSG00000133604.1	lncRNA	0.093
1	ENSG00000203930.15	Overlaps,Included,Equal	ENSMUSG00000071753.16	lncRNA	0.175
1	ENSG00000203999.11	Overlaps,Included	ENSMUSG00000087624.3	lncRNA	0.075
1	ENSG00000204682.10	Included	ENSMUSG00000054057.4	lncRNA	0.064
1	ENSG00000204929.14	Included,Overlaps	ENSMUSG00000138860.1	lncRNA	0.070
1	ENSG00000205054.10	Overlaps	ENSMUSG00000100345.3,ENSMUSG00000117501.4	lncRNA	0.205
1	ENSG00000205086.8	Overlaps	ENSMUSG00000117509.3	lncRNA	0.487
1	ENSG00000205334.5	Included	ENSMUSG00000107355.4	lncRNA	0.439
1	ENSG00000205549.11	Overlaps	ENSMUSG00000131807.1	lncRNA	0.694
1	ENSG00000205861.14	Overlaps,Included	ENSMUSG00000084951.3	lncRNA	0.615
1	ENSG00000206028.2	Overlaps,Included	ENSMUSG00000097986.4	lncRNA	0.228
1	ENSG00000206417.9	Overlaps,Included	ENSMUSG00000084950.9	lncRNA	0.102
1	ENSG00000206573.12	Included	ENSMUSG00000086429.12	lncRNA	0.079
1	ENSG00000207955.5	Extends	ENSMUSG00000120522.2	lncRNA	0.940
1	ENSG00000212694.8	Included,Overlaps,Equal	ENSMUSG00000090086.10	lncRNA	0.472
1	ENSG00000214145.9	Included	ENSMUSG00000097621.3	lncRNA	0.069
1	ENSG00000214146.4	Overlaps	ENSMUSG00000075286.6	lncRNA	0.078
1	ENSG00000214401.7	Included	ENSMUSG00000121072.2	lncRNA	0.190
1	ENSG00000214546.5	Overlaps,Included	ENSMUSG00000122288.1	lncRNA	0.189
1	ENSG00000214548.19	Overlaps,Equal,Included,Extends	ENSMUSG00000021268.20	lncRNA	0.418
1	ENSG00000214691.10	Overlaps,Included	ENSMUSG00000100154.2	lncRNA	0.294
1	ENSG00000215386.16	Overlaps,Equal,Included	ENSMUSG00000090386.13,ENSMUSG00000096870.6,ENSMUSG00000132029.1	lncRNA	0.276
1	ENSG00000215417.15	Overlaps,Included,Equal	ENSMUSG00000089726.4	lncRNA	0.302
1	ENSG00000221817.13	Overlaps	ENSMUSG00000084925.10	lncRNA	0.080
1	ENSG00000223403.8	Overlaps,Included	ENSMUSG00000097391.10	lncRNA	0.171
1	ENSG00000223486.2	Overlaps	ENSMUSG00000125673.1	lncRNA	0.842
1	ENSG00000223561.9	Overlaps	ENSMUSG00000124943.1	lncRNA	0.246
1	ENSG00000223665.2	Included	ENSMUSG00000139028.1	lncRNA	0.303
1	ENSG00000223726.2	Overlaps	ENSMUSG00000085919.3	lncRNA	0.281
1	ENSG00000223749.12	Overlaps,Included	ENSMUSG00000101603.4,ENSMUSG00000087365.11	lncRNA	0.601
1	ENSG00000223765.4	Overlaps	ENSMUSG00000101227.3	lncRNA	0.335
1	ENSG00000223813.6	Overlaps	ENSMUSG00000073067.12	lncRNA	0.138
1	ENSG00000223855.5	Overlaps,Included	ENSMUSG00000075585.5	lncRNA	0.188
1	ENSG00000223874.4	Overlaps,Included	ENSMUSG00000122885.1	lncRNA	0.071
1	ENSG00000223923.3	Included	ENSMUSG00000126782.1	lncRNA	0.056
1	ENSG00000223935.4	Overlaps	ENSMUSG00000129234.1	lncRNA	0.162
1	ENSG00000224020.4	Overlaps,Included	ENSMUSG00000085201.3	lncRNA	0.667
1	ENSG00000224043.10	Included	ENSMUSG00000102014.3	lncRNA	0.089
1	ENSG00000224049.1	Included	ENSMUSG00000116290.3	lncRNA	0.464
1	ENSG00000224078.16	Overlaps,Included	ENSMUSG00000100826.8	lncRNA	0.150
1	ENSG00000224116.7	Overlaps,Included	ENSMUSG00000113960.3	lncRNA	0.072
1	ENSG00000224152.3	Overlaps	ENSMUSG00000086603.2	lncRNA	0.693
1	ENSG00000224186.8	Overlaps,Included	ENSMUSG00000114493.5	lncRNA	0.156
1	ENSG00000224187.2	Included	ENSMUSG00000121816.2	lncRNA	0.104
1	ENSG00000224189.9	Overlaps,Equal,Included	ENSMUSG00000075277.7	lncRNA	0.657
1	ENSG00000224243.3	Included,Overlaps	ENSMUSG00000047935.20	lncRNA	0.093
1	ENSG00000224286.7	Equal,Included	ENSMUSG00000101869.3	lncRNA	0.539
1	ENSG00000224329.3	Overlaps	ENSMUSG00000130880.1	lncRNA	0.116
1	ENSG00000224505.5	Overlaps,Equal,Included	ENSMUSG00000120826.2	lncRNA	0.663
1	ENSG00000224509.5	Equal,Overlaps	ENSMUSG00000129759.1	lncRNA	0.698
1	ENSG00000224577.5	Overlaps,Included	ENSMUSG00000100303.6	lncRNA	0.428
1	ENSG00000224583.1	Included	ENSMUSG00000102020.2	lncRNA	0.360
1	ENSG00000224592.6	Overlaps,Included	ENSMUSG00000098760.3	lncRNA	0.203
1	ENSG00000224596.10	Overlaps,Included	ENSMUSG00000087535.4	lncRNA	0.125
1	ENSG00000224609.9	Included,Overlaps	ENSMUSG00000100129.2	lncRNA	0.224
1	ENSG00000224612.2	Overlaps	ENSMUSG00000129589.1	lncRNA	0.120
1	ENSG00000224687.3	Extends,Overlaps,Included	ENSMUSG00000121798.2	lncRNA	0.327
1	ENSG00000224713.5	Overlaps,Included	ENSMUSG00000120324.2	lncRNA	0.439
1	ENSG00000224721.4	Included	ENSMUSG00000141408.1	lncRNA	0.257
1	ENSG00000224729.7	Overlaps	ENSMUSG00000106617.2	lncRNA	0.384
1	ENSG00000224765.3	Overlaps	ENSMUSG00000132414.1	lncRNA	0.378
1	ENSG00000224842.3	Included	ENSMUSG00000052951.7	lncRNA	0.162
1	ENSG00000224918.2	Included	ENSMUSG00000143229.1	lncRNA	0.336
1	ENSG00000224944.3	Overlaps,Included	ENSMUSG00000085522.3	lncRNA	0.114
1	ENSG00000224961.4	Overlaps	ENSMUSG00000099683.2	lncRNA	0.426
1	ENSG00000225012.5	Included	ENSMUSG00000100780.2	lncRNA	0.480
1	ENSG00000225084.2	Included	ENSMUSG00000101295.2	lncRNA	0.491
1	ENSG00000225127.6	Included,Overlaps	ENSMUSG00000087618.3	lncRNA	0.226
1	ENSG00000225206.13	Included,Overlaps,Equal,Extends	ENSMUSG00000097311.10,ENSMUSG00000104178.2	lncRNA	0.541
1	ENSG00000225214.2	Overlaps	ENSMUSG00000140556.1	lncRNA	0.360
1	ENSG00000225280.8	Overlaps,Included	ENSMUSG00000130333.1	lncRNA	0.134
1	ENSG00000225316.4	Included	ENSMUSG00000086913.3	lncRNA	0.128
1	ENSG00000225446.4	Overlaps,Included,Extends	ENSMUSG00000101237.2	lncRNA	0.602
1	ENSG00000225472.3	Included	ENSMUSG00000087413.4	lncRNA	0.113
1	ENSG00000225619.1	Overlaps	ENSMUSG00000112390.4	lncRNA	0.853
1	ENSG00000225689.3	Overlaps,Included	ENSMUSG00000101233.2,ENSMUSG00000129569.1	lncRNA	0.177
1	ENSG00000225767.2	Overlaps,Equal	ENSMUSG00000085256.4	lncRNA	0.578
1	ENSG00000225783.10	Included	ENSMUSG00000097767.11	lncRNA	0.104
1	ENSG00000225791.8	Overlaps	ENSMUSG00000099971.2	lncRNA	0.119
1	ENSG00000225792.4	Overlaps	ENSMUSG00000125981.1	lncRNA	0.804
1	ENSG00000225793.6	Included	ENSMUSG00000086918.4	lncRNA	0.229
1	ENSG00000225822.5	Overlaps	ENSMUSG00000124294.1	lncRNA	0.405
1	ENSG00000225938.4	Included	ENSMUSG00000052769.11	lncRNA	0.310
1	ENSG00000225940.8	Overlaps	ENSMUSG00000122587.1	lncRNA	0.168
1	ENSG00000225953.6	Included,Overlaps,Equal	ENSMUSG00000087022.7	lncRNA	0.241
1	ENSG00000225982.2	Included	ENSMUSG00000143860.1	lncRNA	0.105
1	ENSG00000226005.7	Overlaps,Included	ENSMUSG00000114053.4	lncRNA	0.199
1	ENSG00000226087.5	Overlaps,Included	ENSMUSG00000135532.1,ENSMUSG00000141816.1,ENSMUSG00000100847.2	lncRNA	0.184
1	ENSG00000226197.5	Overlaps	ENSMUSG00000087540.2	lncRNA	0.068
1	ENSG00000226363.5	Included	ENSMUSG00000085015.4	lncRNA	0.107
1	ENSG00000226455.1	Equal,Included	ENSMUSG00000086150.3	lncRNA	0.766
1	ENSG00000226482.1	Overlaps	ENSMUSG00000122118.1	lncRNA	0.154
1	ENSG00000226571.3	Overlaps	ENSMUSG00000112587.3	lncRNA	0.095
1	ENSG00000226620.9	Overlaps,Included	ENSMUSG00000099890.3	lncRNA	0.121
1	ENSG00000226673.2	Overlaps	ENSMUSG00000123960.1	lncRNA	0.092
1	ENSG00000226674.12	Overlaps,Included	ENSMUSG00000086710.3,ENSMUSG00000120385.2,ENSMUSG00000132922.1	lncRNA	0.202
1	ENSG00000226702.3	Included,Overlaps	ENSMUSG00000084966.3	lncRNA	0.381
1	ENSG00000226709.1	Included	ENSMUSG00000128222.1	lncRNA	0.597
1	ENSG00000226733.5	Overlaps,Included	ENSMUSG00000132263.1	lncRNA	0.280
1	ENSG00000226828.3	Included,Overlaps	ENSMUSG00000126692.1	lncRNA	0.116
1	ENSG00000226856.10	Included,Overlaps	ENSMUSG00000101700.2	lncRNA	0.253
1	ENSG00000226903.4	Included,Overlaps	ENSMUSG00000101899.2	lncRNA	0.206
1	ENSG00000226917.7	Overlaps,Included	ENSMUSG00000137062.1	lncRNA	0.247
1	ENSG00000227128.6	Included	ENSMUSG00000137576.1	lncRNA	0.100
1	ENSG00000227145.3	Overlaps	ENSMUSG00000086517.2	lncRNA	0.145
1	ENSG00000227198.1	Overlaps	ENSMUSG00000092241.3	lncRNA	0.909
1	ENSG00000227292.2	Included	ENSMUSG00000130053.1	lncRNA	0.056
1	ENSG00000227373.7	Overlaps,Included	ENSMUSG00000102852.3	lncRNA	0.115
1	ENSG00000227543.6	Overlaps	ENSMUSG00000087295.3	lncRNA	0.084
1	ENSG00000227544.11	Included	ENSMUSG00000100002.5	lncRNA	0.273
1	ENSG00000227610.2	Overlaps	ENSMUSG00000120773.1	lncRNA	0.742
1	ENSG00000227640.5	Equal,Overlaps	ENSMUSG00000090534.3	lncRNA	0.535
1	ENSG00000227712.4	Overlaps	ENSMUSG00000137364.1	lncRNA	0.142
1	ENSG00000227716.2	Included	ENSMUSG00000118057.2	lncRNA	0.359
1	ENSG00000227741.2	Overlaps,Included	ENSMUSG00000092085.3	lncRNA	0.515
1	ENSG00000227857.3	Overlaps	ENSMUSG00000126854.1	lncRNA	0.333
1	ENSG00000227896.2	Overlaps	ENSMUSG00000115007.4	lncRNA	0.181
1	ENSG00000227906.11	Overlaps,Included	ENSMUSG00000124586.1	lncRNA	0.065
1	ENSG00000227946.4	Overlaps,Included	ENSMUSG00000084799.10	lncRNA	0.753
1	ENSG00000227947.3	Overlaps	ENSMUSG00000140662.1	lncRNA	0.082
1	ENSG00000227954.8	Overlaps,Equal,Included	ENSMUSG00000112397.4	lncRNA	0.216
1	ENSG00000228133.3	Included	ENSMUSG00000135819.1	lncRNA	0.072
1	ENSG00000228208.8	Overlaps	ENSMUSG00000103690.3	lncRNA	0.646
1	ENSG00000228274.6	Overlaps	ENSMUSG00000133615.1	lncRNA	0.075
1	ENSG00000228288.10	Extends,Overlaps	ENSMUSG00000120829.2	lncRNA	0.583
1	ENSG00000228412.10	Overlaps	ENSMUSG00000114860.3	lncRNA	0.187
1	ENSG00000228414.9	Overlaps	ENSMUSG00000127870.1	lncRNA	0.113
1	ENSG00000228417.1	Overlaps	ENSMUSG00000118369.3	lncRNA	0.976
