Gene ID	Symbol	Conservation (age)	Expression Capacity	Featured Expression	Featured Methylation	Variation (disease/trait-association)	Interaction	Small Protein
HSALNG0017785	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0115963	-	12. Eutheria	MC	-	yes	yes	-	yes
HSALNG0018182	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0116341	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0018600	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0145087	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0117047	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0019336	-	16. Tetrapoda	LC	-	yes	yes	yes	-
HSALNG0117423	-	15. Amniota	LC	-	yes	yes	-	-
HSALNG0146244	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020094	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0118210	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0118593	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0020826	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0118943	-	1. Homo	HC	-	-	yes	-	-
HSALNG0021249	-	13. Theria	LC	-	-	yes	-	-
HSALNG0119612	-	13. Theria	MC	-	-	yes	-	yes
HSALNG0022032	-	15. Amniota	LC	-	-	yes	-	-
HSALNG0022472	-	15. Amniota	LC	-	-	yes	-	-
HSALNG0120308	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0120687	-	13. Theria	LC	-	yes	yes	-	-
HSALNG0023281	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0121091	-	13. Theria	MC	-	-	yes	yes	-
HSALNG0023636	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0147743	-	8. Haplorrhini	HC	yes	-	yes	-	-
HSALNG0024716	-	12. Eutheria	MC	-	yes	yes	-	yes
HSALNG0123603	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0147816	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0124022	-	13. Theria	MC	-	-	yes	-	-
HSALNG0124375	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0027424	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0125487	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0147604	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0029024	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0126668	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0030198	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0145991	-	13. Theria	MC	-	-	yes	-	-
HSALNG0030679	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0128170	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0031036	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0031438	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0032191	-	16. Tetrapoda	LC	-	-	yes	-	yes
HSALNG0130414	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0033271	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0146859	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0131150	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0034055	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0131498	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0034448	-	13. Theria	MC	-	-	yes	-	-
HSALNG0035665	-	17. Euteleostomi	MC	-	-	yes	-	yes
HSALNG0132815	-	9. Primates	LC	-	-	yes	-	-
HSALNG0036407	-	13. Theria	MC	-	-	yes	-	yes
HSALNG0037283	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0147249	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0134611	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0038063	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0135340	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0038820	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0039191	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0040743	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0042431	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0140574	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0044458	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0046394	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0047051	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0047658	-	13. Theria	MC	-	-	yes	-	-
HSALNG0048002	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0049395	-	4. Hominidae	NE	-	yes	yes	-	-
HSALNG0049761	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0050491	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0149174	-	2. Hominini	HC	-	-	yes	-	-
HSALNG0051360	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0051798	-	13. Theria	HC	-	-	yes	-	-
HSALNG0052202	-	16. Tetrapoda	HC	-	yes	yes	-	-
HSALNG0052626	-	6. Catarrhini	MC	yes	-	yes	-	-
HSALNG0055957	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0056769	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0058254	-	6. Catarrhini	LC	-	yes	yes	-	-
HSALNG0058632	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0061026	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0061395	-	13. Theria	HC	-	yes	yes	-	-
HSALNG0061787	-	13. Theria	MC	-	-	yes	-	-
HSALNG0063598	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0065190	-	7. Simiiformes	MC	-	yes	yes	-	-
HSALNG0065592	-	15. Amniota	LC	-	-	yes	-	-
HSALNG0065989	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0066930	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067325	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0067689	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0068137	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0068934	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0069287	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0070072	-	15. Amniota	NE	-	-	yes	-	-
HSALNG0070439	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0072716	-	11. Boreoeutheria	MC	yes	-	yes	-	yes
HSALNG0073440	-	15. Amniota	MC	-	-	yes	-	yes
HSALNG0142706	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0076968	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0077362	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0077921	-	12. Eutheria	HC	yes	-	yes	-	yes
HSALNG0078130	-	11. Boreoeutheria	NE	-	yes	yes	-	-
HSALNG0078501	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0078870	-	17. Euteleostomi	MC	-	-	yes	-	yes
HSALNG0079212	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0079619	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0080021	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0080369	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0080722	-	8. Haplorrhini	HC	-	-	yes	-	-
HSALNG0082136	-	1. Homo	NE	-	yes	yes	-	-
HSALNG0082527	-	13. Theria	MC	-	-	yes	-	-
HSALNG0082888	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0142957	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0084483	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0085219	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0086423	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0086864	-	11. Boreoeutheria	NE	-	yes	yes	-	-
HSALNG0087300	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0087715	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0088116	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0143315	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0089209	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0090038	-	12. Eutheria	HC	yes	-	yes	-	-
